Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.18	Patient21	175	81	1417	1328	123500.35285815103	60993.97590361446	4.0	10.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	334.0	122.0	0.5239520958083832	0.6639344262295082	66146.65887260679	48072.14857024857	1.1930753188976442	-7.064853714677943	0.44026699855707624						
PB.161551.18	Patient25	164	257	1372	1946	119533.527696793	132065.77595066803	5.0	1.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	341.0	346.0	0.4809384164222874	0.7427745664739884	66146.65887260679	48072.14857024857	1.1105571606846563	-7.797816295193232	0.42502810532488156						
PB.161551.18	Patient26	172	114	1690	1469	101775.14792899409	77603.81211708646	11.0	7.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	668.0	201.0	0.25748502994011974	0.5671641791044776	66146.65887260679	48072.14857024857	0.7411461754059702	-11.408639795393933	0.34995612312195096						
PB.161551.18	Patient3	192	131	1987	2019	96628.08253648717	64883.60574541853	12.0	9.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	371.0	172.0	0.5175202156334232	0.7616279069767442	66146.65887260679	48072.14857024857	0.6340765821884872	-12.57377035220122	0.3257321031941241						
PB.161551.18	Patient30	191	72	1658	1808	115199.0349819059	39823.00884955752	9.0	17.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	496.0	127.0	0.3850806451612903	0.5669291338582677	66146.65887260679	48072.14857024857	1.0203907578130844	-8.627058072954108	0.407787488612785						
PB.161551.18	Patient5	270	156	1596	1993	169172.93233082705	78273.95885599598	1.0	6.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	354.0	682.0	0.7627118644067796	0.2287390029325513	66146.65887260679	48072.14857024857	2.1431593245237703	5.037029165853002	0.6918750697293923						
PB.161551.18	Patient7	202	139	1726	1705	117033.60370799537	81524.926686217	7.0	4.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	262.0	375.0	0.7709923664122137	0.37066666666666664	66146.65887260679	48072.14857024857	1.058553577255377	-8.27233732480305	0.4151624239123715						
PB.161551.18	Patient8	169	97	1359	1179	124356.1442236939	82273.11280746396	3.0	3.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	217.0	262.0	0.7788018433179723	0.3702290076335878	66146.65887260679	48072.14857024857	1.2108775472355828	-6.909816348120306	0.44349035257101715						
PB.161551.19	Patient11	123	81	1367	2226	89978.05413313826	36388.14016172507	2.0	1.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	299.0	1145.0	0.411371237458194	0.07074235807860262	16450.57042214269	26702.865768777338	2.7535427975288145	-3.0484513833105167	0.7527789682345791						
PB.161551.19	Patient13	94	62	2218	2495	42380.52299368801	24849.699398797595	4.0	4.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	387.0	696.0	0.24289405684754523	0.08908045977011494	16450.57042214269	26702.865768777338	0.9710550469030275	-16.656062627254773	0.5498769637891626						
