Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.18	Patient14	54	32	1161	1708	46511.62790697674	18735.362997658078	17.0	23.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	121.0	44.0	0.4462809917355372	0.7272727272727273	0.046511627906976744	0.01873536299765808	0.7128547579298832	0.2871452420701169	0.4257095158597663	20.339652393191095	1.185149262293979						
PB.161551.18	Patient15	186	204	1376	2573	135174.41860465115	79284.88146132919	2.0	5.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	324.0	294.0	0.5740740740740741	0.6938775510204082	0.13517441860465115	0.07928488146132918	0.6303033655479782	0.3696966344520218	0.2606067310959564	13.119087032800484	0.5148941815577119						
PB.161551.18	Patient17	31	17	975	1227	31794.871794871797	13854.930725346372	20.0	27.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	56.0	25.0	0.5535714285714286	0.68	0.031794871794871796	0.013854930725346373	0.6964952757635684	0.30350472423643154	0.39299055152713686	17.923026545929673	0.9608239260466341						
PB.161551.18	Patient18	67	50	988	1387	67813.76518218624	36049.02667627974	14.0	18.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	157.0	82.0	0.4267515923566879	0.6097560975609756	0.06781376518218624	0.03604902667627974	0.6529168335335737	0.34708316646642634	0.3058336670671473	14.63055752101071	0.6551977067723948						
PB.161551.18	Patient19	20	17	1229	1548	16273.39300244101	10981.912144702841	27.0	28.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	74.0	31.0	0.2702702702702703	0.5483870967741935	0.01627339300244101	0.010981912144702842	0.5970724933947891	0.4029275066052108	0.19414498678957826	7.937359553205027	0.01773945672412325						
PB.161551.18	Patient21	175	81	1417	1328	123500.35285815103	60993.97590361446	4.0	10.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	334.0	122.0	0.5239520958083832	0.6639344262295082	0.12350035285815103	0.06099397590361446	0.6693991825495352	0.3306008174504647	0.3387983650990705	17.21465137675742	0.8950684024127576						
PB.161551.18	Patient22	25	32	1221	2106	20475.020475020476	15194.681861348528	25.0	26.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	58.0	43.0	0.43103448275862066	0.7441860465116279	0.020475020475020474	0.015194681861348529	0.5740171387453392	0.4259828612546609	0.14803427749067832	6.162262128440576	-0.18093141149516767						
PB.161551.18	Patient23	13	11	665	1159	19548.87218045113	9490.940465918895	26.0	30.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	27.0	18.0	0.48148148148148145	0.6111111111111112	0.019548872180451128	0.009490940465918895	0.6731748726655348	0.32682512733446517	0.3463497453310696	14.859130060207324	0.6764151458601607						
PB.161551.18	Patient26	172	114	1690	1469	101775.14792899409	77603.81211708646	11.0	7.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	668.0	201.0	0.25748502994011974	0.5671641791044776	0.10177514792899409	0.07760381211708646	0.5673750583839327	0.43262494161606724	0.1347501167678654	6.507325012689234	-0.14890065769714897						
PB.161551.18	Patient27	22	26	917	1439	23991.275899672844	18068.102849200834	24.0	24.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	92.0	45.0	0.2391304347826087	0.5777777777777777	0.023991275899672846	0.018068102849200834	0.5704144144144144	0.42958558558558557	0.14082882882882886	5.9517469126937925	-0.20047266427581417						
